,log,number_of_clusters,clustering_technique,discovery_algo,align_weighted_average_f1,runtime,distance_metric,token_weighted_average_f1,f1_score_threshold,max_distance,minimum_cluster_size,neighbourhood_size,meta,flag_condition,align_weighted_average_fitness,align_weighted_average_precision,token_weighted_average_precision,token_weighted_average_fitness,clusters,number_of_traces,number_of_variants,number_of_activities,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
170,KIM,4,DBSCAN,inductive miner,0.7816411970407955,15.285622831,levenshtein,,0.95,2,300,10,,no,1.0,0.6645347041899998,,,"{'cluster 10085': 0.9288270041002985, 'cluster 8601': 0.7133894906995083, 'cluster 771': 1.0, 'cluster 5313': 0.5810594964883349}",24770.0,1174.0,18.0,10085.0,8601.0,771.0,5313.0,0.0
171,road,4,K-means,inductive miner,0.954982445678716,93.537496083,levenshtein,,0.95,2,300,10,,no,1.0,0.9164101435370318,,,"{'cluster 49970': 0.9999950982074145, 'cluster 78016': 0.9419818295942843, 'cluster 20899': 0.9123088332564991, 'cluster 1488': 0.7243437652995894}",150370.0,231.0,11.0,49970.0,78016.0,20899.0,1488.0,0.0
172,road,4,DBSCAN,inductive miner,0.9613152009741897,751.843093009,levenshtein,,0.95,2,300,10,,no,1.0,0.9286272029385138,,,"{'cluster 77573': 0.932689122478165, 'cluster 70249': 1.0, 'cluster 708': 0.8913723038449515, 'cluster 1840': 0.7181423268304241}",150370.0,231.0,11.0,77573.0,70249.0,708.0,1840.0,0.0
173,TSL,4,DBSCAN,inductive miner,0.7650191857872584,25.08145926400001,levenshtein,,0.95,2,300,10,,no,1.0,0.6495923669658465,,,"{'cluster 3403': 0.962299873779313, 'cluster 4436': 0.935760017264945, 'cluster 564': 0.7943661971830985, 'cluster 9412': 0.6114594509700852}",17812.0,2551.0,40.0,3403.0,4436.0,564.0,9412.0,0.0
174,TSL,4,K-means,inductive miner,0.7650310935157641,193.02262078099997,levenshtein,,0.95,2,300,10,,no,1.0,0.6496047192944319,,,"{'cluster 3403': 0.962299873779313, 'cluster 4436': 0.935760017264945, 'cluster 564': 0.7943661971830985, 'cluster 9412': 0.6114819898760915}",17812.0,2551.0,40.0,3403.0,4436.0,564.0,9412.0,0.0
175,bpi2013,4,K-means,inductive miner,0.8455454461142097,26.119651551999997,levenshtein,,0.95,2,300,10,,no,1.0,0.7515750334617765,,,"{'cluster 3038': 0.9837540007292469, 'cluster 1555': 0.8199780754525281, 'cluster 330': 0.7589074756639259, 'cluster 2631': 0.7119347287850668}",7554.0,1511.0,4.0,3038.0,1555.0,330.0,2631.0,0.0
176,bpi2013,4,DBSCAN,inductive miner,0.8011550229733744,31.86729008,levenshtein,,0.95,2,300,10,,no,1.0,0.6769719883524135,,,"{'cluster 2808': 0.9081786858489996, 'cluster 1828': 0.7651420059915315, 'cluster 350': 0.7826173231471376, 'cluster 2568': 0.7122911384824226}",7554.0,1511.0,4.0,2808.0,1828.0,350.0,2568.0,0.0
177,bpi2018_ref,3,DBSCAN,inductive miner,0.9927383390665836,61.074104084000005,levenshtein,,0.95,2,300,10,,no,1.0,0.9878836441155874,,,"{'cluster 35583': 1.0, 'cluster 7574': 0.9862261293016803, 'cluster 678': 0.6843781558300318}",43802.0,515.0,6.0,35583.0,7574.0,678.0,0.0,0.0
178,bpi2018_ref,4,DBSCAN,inductive miner,0.9927677522017164,66.06455998499999,levenshtein,,0.95,2,300,10,,no,1.0,0.987913472160404,,,"{'cluster 35583': 1.0, 'cluster 7574': 0.9862261293016803, 'cluster 35': 0.8642413487133984, 'cluster 655': 0.6823854660347551}",43802.0,515.0,6.0,35583.0,7574.0,35.0,655.0,0.0
179,bpi2018_ref,5,DBSCAN,inductive miner,0.9928640666258982,84.395885849,levenshtein,,0.95,2,300,10,,no,1.0,0.9880554843603704,,,"{'cluster 35583': 1.0, 'cluster 7574': 0.9862261293016803, 'cluster 32': 0.906064209274673, 'cluster 25': 0.8651851851851852, 'cluster 633': 0.68058505795958}",43802.0,515.0,6.0,35583.0,7574.0,32.0,25.0,633.0
180,bpi2018_ref,3,K-means,inductive miner,0.9811995149741852,5.312155593,levenshtein,,0.95,2,300,10,,no,1.0,0.9653250709704342,,,"{'cluster 30738': 1.0, 'cluster 10332': 0.9567000236854571, 'cluster 2732': 0.8623266874747861}",43802.0,515.0,6.0,30738.0,10332.0,2732.0,0.0,0.0
181,bpi2018_ref,4,K-means,inductive miner,0.987613508713858,4.222679994000004,levenshtein,,0.95,2,300,10,,no,1.0,0.9763849363463076,,,"{'cluster 30738': 1.0, 'cluster 10332': 0.9567000236854571, 'cluster 2633': 0.973261100056644, 'cluster 99': 0.7497554294658579}",43802.0,515.0,6.0,30738.0,10332.0,2633.0,99.0,0.0
182,bpi2018_ref,5,K-means,inductive miner,0.9876448095078136,7.777177266999999,levenshtein,,0.95,2,300,10,,no,1.0,0.9764348914778856,,,"{'cluster 30734': 1.0, 'cluster 10332': 0.9567000236854571, 'cluster 2633': 0.973261100056644, 'cluster 34': 0.8826583592938734, 'cluster 69': 0.7186440677966103}",43802.0,515.0,6.0,30734.0,10332.0,2633.0,34.0,69.0
183,bpi2012,5,K-means,inductive miner,0.8535846227784776,86.04044015299999,levenshtein,,0.95,2,300,10,8 activities sampled,no,1.0,0.7920609684420598,,,"{'cluster 4696': 1.0, 'cluster 3376': 1.0, 'cluster 590': 0.7119292373894335, 'cluster 516': 0.9022087199277445, 'cluster 3910': 0.5662755993304941}",13087.0,1901.0,9.0,4696.0,3376.0,590.0,516.0,3910.0
184,bpi2012,4,K-means,inductive miner,0.841728066010177,94.50993072,levenshtein,,0.95,2,300,10,9 activities sampled,no,1.0,0.7765940467719575,,,"{'cluster 4696': 1.0, 'cluster 3376': 1.0, 'cluster 590': 0.7119292373894335, 'cluster 4425': 0.5703179547605468}",13087.0,1901.0,9.0,4696.0,3376.0,590.0,4425.0,0.0
185,bpi2012,3,K-means,inductive miner,0.8417316886825972,95.321949464,levenshtein,,0.95,2,300,10,9 activities sampled,no,1.0,0.7765975915038189,,,"{'cluster 8072': 1.0, 'cluster 590': 0.7119292373894335, 'cluster 4425': 0.5703286688653972}",13087.0,1901.0,9.0,8072.0,590.0,4425.0,0.0,0.0
186,bpi2012,3,DBSCAN,inductive miner,0.8417026881339277,68.318697931,levenshtein,,0.95,2,300,10,9 activities sampled,no,1.0,0.7759554982352559,,,"{'cluster 4696': 1.0, 'cluster 3376': 1.0, 'cluster 5015': 0.5869118802808995}",13087.0,1901.0,9.0,4696.0,3376.0,5015.0,0.0,0.0
187,bpi2012,5,DBSCAN,inductive miner,0.8535846227784776,73.49594053000001,levenshtein,,0.95,2,300,10,9 activities sampled,no,1.0,0.7920609684420598,,,"{'cluster 4696': 1.0, 'cluster 3376': 1.0, 'cluster 590': 0.7119292373894335, 'cluster 516': 0.9022087199277445, 'cluster 3910': 0.5662755993304941}",13087.0,1901.0,9.0,4696.0,3376.0,590.0,516.0,3910.0
188,bpi2012,4,DBSCAN,inductive miner,0.8417316886825972,69.512194488,levenshtein,,0.95,2,300,10,9 activities sampled,no,1.0,0.7765975915038189,,,"{'cluster 4696': 1.0, 'cluster 3376': 1.0, 'cluster 590': 0.7119292373894335, 'cluster 4425': 0.5703286688653972}",13087.0,1901.0,9.0,4696.0,3376.0,590.0,4425.0,0.0
189,bpi2012,4,DBSCAN,inductive miner,0.7776522237097767,6.690033733,levenshtein,,0.95,2,300,10,8 activities sampled,no,1.0,0.6981168752902324,,,"{'cluster 3480': 1.0, 'cluster 1216': 1.0, 'cluster 2240': 1.0, 'cluster 6151': 0.5269280851389772}",13087.0,575.0,8.0,3480.0,1216.0,2240.0,6151.0,0.0
190,bpi2012,3,DBSCAN,inductive miner,0.7311863908152942,6.190432299999998,levenshtein,,0.95,2,300,10,8 activities sampled,no,1.0,0.62119038216149,,,"{'cluster 3480': 1.0, 'cluster 1216': 1.0, 'cluster 8391': 0.5807455960671857}",13087.0,575.0,8.0,3480.0,1216.0,8391.0,0.0,0.0
191,bpi2012,5,DBSCAN,inductive miner,0.7925938860589916,7.143713195,levenshtein,,0.95,2,300,10,8 activities sampled,no,1.0,0.7137000173593449,,,"{'cluster 3480': 1.0, 'cluster 1216': 1.0, 'cluster 2240': 1.0, 'cluster 1753': 0.6658806295442771, 'cluster 4398': 0.5160044209329028}",13087.0,575.0,8.0,3480.0,1216.0,2240.0,1753.0,4398.0
192,bpi2012,5,K-means,inductive miner,0.802468120147634,6.5878860500000025,levenshtein,,0.95,2,300,10,8 activities sampled,no,1.0,0.7232624968225112,,,"{'cluster 4696': 1.0, 'cluster 2148': 1.0, 'cluster 1753': 0.7192698081895721, 'cluster 570': 0.6005684829214241, 'cluster 3920': 0.5241572141200393}",13087.0,575.0,8.0,4696.0,2148.0,1753.0,570.0,3920.0
193,bpi2012,4,K-means,inductive miner,0.8074344900726214,6.480639729,levenshtein,,0.95,2,300,10,8 activities sampled,no,1.0,0.7277827291327644,,,"{'cluster 4696': 1.0, 'cluster 2148': 1.0, 'cluster 1753': 0.7192698081895721, 'cluster 4490': 0.5483330061968987}",13087.0,575.0,8.0,4696.0,2148.0,1753.0,4490.0,0.0
194,bpi2012,3,K-means,inductive miner,0.7541308477996781,6.903800751,levenshtein,,0.95,2,300,10,8 activities sampled,no,1.0,0.653484122853336,,,"{'cluster 5356': 1.0, 'cluster 1988': 0.6526841799658649, 'cluster 5743': 0.5599467622117792}",13087.0,575.0,8.0,5356.0,1988.0,5743.0,0.0,0.0
195,bpi2013,4,K-means,inductive miner,0.8455454461142097,25.294081515999988,levenshtein,,0.95,2,300,10,,no,1.0,0.7515750334617765,,,"{'cluster 3038': 0.9837540007292469, 'cluster 1555': 0.8199780754525281, 'cluster 330': 0.7589074756639259, 'cluster 2631': 0.7119347287850668}",7554.0,1511.0,4.0,3038.0,1555.0,330.0,2631.0,0.0
196,bpi2013,4,K-means,inductive miner,0.8455454461142097,29.960103656000012,levenshtein,,0.95,2,300,10,,no,1.0,0.7515750334617765,,,"{'cluster 3038': 0.9837540007292469, 'cluster 1555': 0.8199780754525281, 'cluster 330': 0.7589074756639259, 'cluster 2631': 0.7119347287850668}",7554.0,1511.0,4.0,3038.0,1555.0,330.0,2631.0,0.0
197,bpi2013,4,K-means,inductive miner,0.8508696747047314,27.449857693999995,levenshtein,,0.95,2,300,10,,yes,1.0,0.7594401587571952,,,"{'cluster 3038': 0.9837540007292469, 'cluster 1171': 0.8621886120996441, 'cluster 534': 0.7752519046448759, 'cluster 2811': 0.7169041218979159}",7554.0,1511.0,4.0,3038.0,1171.0,534.0,2811.0,0.0
198,KIM,4,DBSCAN,inductive miner,0.8661933901605501,17.74833914,levenshtein,,0.95,2,300,10,,yes,1.0,0.8028221656467535,,,"{'cluster 7112': 1.0, 'cluster 5154': 1.0, 'cluster 4088': 0.9647592405608065, 'cluster 8417': 0.6233266831714869}",24770.0,1174.0,18.0,7112.0,5154.0,4088.0,8417.0,0.0
199,TSL,4,K-means,inductive miner,0.7762829800401005,210.061730675,levenshtein,,0.95,2,300,10,,yes,1.0,0.6586399827927725,,,"{'cluster 2634': 1.0, 'cluster 2617': 0.9483026690852553, 'cluster 613': 1.0, 'cluster 11949': 0.6778157702283202}",17812.0,2551.0,40.0,2634.0,2617.0,613.0,11949.0,0.0
200,TSL,4,K-means,inductive miner,0.7762829800401005,,levenshtein,,0.95,2,300,10,,yes,1.0,0.6586399827927725,,,"{'cluster 2634': 1.0, 'cluster 2617': 0.9483026690852553, 'cluster 613': 1.0, 'cluster 11949': 0.6778157702283202}",17812.0,2551.0,40.0,2634.0,2617.0,613.0,11949.0,0.0
